"Data used to generate the results reported herein. ""N.species"" is the number of species extant at a pseudolevel (age); the value for speciation includes the originating species but not the extinguishing species and, conversely, the value for extinction includes the extinguishing species but excludes the originators. Species turnover, used for spectral analysis, is simply the sum of the relevant speciation and extinction state probabilites. ﻿Raw speciation and species extinction probabilities calculated at each pseudolevel as the number of speciations or extinctions divided by the number of species extant. ﻿Raw species turnover probability calculated as the sum of raw speciation and raw extinction probability",,,,,,,,,
age,N.speciations,N.extinctions,N.turnover,N.species.speciation,N.species.extinction,raw.speciation.probability,raw.extinction.probability,raw.turnover.probability,mean.population.age.per.pseudolevel
0.05,1,1,2,41,41,0.024,0.024,0.049,7.475601651
0.15,1,0,1,41,40,0.024,0,0.024,7.385035798
0.25,1,0,1,40,39,0.025,0,0.025,7.467469385
0.35,0,1,1,39,40,0,0.025,0.025,7.556852229
0.45,1,0,1,40,39,0.025,0,0.025,7.308152621
0.55,0,2,2,39,41,0,0.049,0.049,7.395515509
0.65,0,1,1,41,42,0,0.024,0.024,7.488352357
0.75,0,0,0,42,42,0,0,0,7.275534443
0.85,1,2,3,42,43,0.024,0.047,0.070,7.175534443
0.95,0,0,0,43,43,0,0,0,7.2891765
1.05,0,1,1,43,44,0,0.023,0.023,7.1891765
1.15,0,0,0,44,44,0,0,0,6.998564717
1.25,0,0,0,44,44,0,0,0,6.898564717
1.35,0,2,2,44,46,0,0.043,0.043,6.798564717
1.45,0,1,1,46,47,0,0.021,0.021,6.88815587
1.55,0,0,0,47,47,0,0,0,6.691210833
1.65,1,2,3,47,48,0.021,0.042,0.063,6.591210833
1.75,0,0,0,48,48,0,0,0,6.696500999
1.85,0,4,4,48,52,0,0.077,0.077,6.596500999
1.95,4,1,5,52,49,0.077,0.020,0.097,6.291463735
2.05,2,2,4,49,49,0.041,0.041,0.082,6.71607309
2.15,0,0,0,49,49,0,0,0,7.151324014
2.25,0,0,0,49,49,0,0,0,7.051324014
2.35,0,7,7,49,56,0,0.125,0.125,6.951324014
2.45,1,0,1,56,55,0.018,0,0.018,7.091502397
2.55,1,0,1,55,54,0.018,0,0.018,7.118917515
2.65,1,0,1,54,53,0.019,0,0.019,7.149317066
2.75,0,1,1,53,54,0,0.019,0.019,7.18286998
2.85,0,0,0,54,54,0,0,0,7.112631647
2.95,0,1,1,54,55,0,0.018,0.018,7.012631647
3.05,0,0,0,55,55,0,0,0,6.854824179
3.15,0,2,2,55,57,0,0.035,0.035,6.755
3.25,0,0,0,57,57,0,0,0,6.999
3.35,2,2,4,57,57,0.035,0.035,0.070,6.899
3.45,0,0,0,57,57,0,0,0,7.830
3.55,2,0,2,57,55,0.035,0,0.035,7.730
3.65,1,1,2,55,55,0.018,0.018,0.036,7.909
3.75,2,2,4,55,55,0.036,0.036,0.073,7.864
3.85,0,2,2,55,57,0,0.035,0.035,7.864
3.95,0,0,0,57,57,0,0,0,7.925
4.05,0,0,0,57,57,0,0,0,7.825
4.15,0,2,2,57,59,0,0.034,0.034,7.725
4.25,1,2,3,59,60,0.017,0.033,0.050,7.392
4.35,2,1,3,60,59,0.033,0.017,0.050,7.591
4.45,3,2,5,59,58,0.051,0.034,0.085,7.742
4.55,1,2,3,58,59,0.017,0.034,0.051,7.875
4.65,3,0,3,59,56,0.051,0,0.051,7.819
4.75,0,0,0,56,56,0,0,0,8.138
4.85,1,4,5,56,59,0.018,0.068,0.086,8.038
4.95,1,0,1,59,58,0.017,0,0.017,8.342
5.05,2,1,3,58,57,0.034,0.018,0.052,8.385
5.15,0,0,0,57,57,0,0,0,8.444
5.25,1,0,1,57,56,0.018,0,0.018,8.344
5.35,0,2,2,56,58,0,0.034,0.034,8.392
5.45,1,0,1,58,57,0.017,0,0.017,8.134
5.55,2,1,3,57,56,0.035,0.018,0.053,8.175
5.65,1,0,1,56,55,0.018,0,0.018,8.230
5.75,3,0,3,55,52,0.055,0,0.055,8.279
5.85,2,2,4,52,52,0.038,0.038,0.077,8.656
5.95,0,2,2,52,54,0,0.037,0.037,8.810
6.05,2,0,2,54,52,0.037,0,0.037,8.765
6.15,1,0,1,52,51,0.019,0,0.019,9.001
6.25,2,0,2,51,49,0.039,0,0.039,9.077
6.35,0,0,0,49,49,0,0,0,9.346
6.45,0,0,0,49,49,0,0,0,9.246
6.55,0,0,0,49,49,0,0,0,9.146
6.65,1,0,1,49,48,0.020,0,0.020,9.046
6.75,1,0,1,48,47,0.021,0,0.021,9.134
6.85,0,0,0,47,47,0,0,0,9.228
6.95,0,1,1,47,48,0,0.021,0.021,9.128
7.05,0,0,0,48,48,0,0,0,8.981
7.15,1,0,1,48,47,0.021,0,0.021,8.881
7.25,0,0,0,47,47,0,0,0,8.969
7.35,1,0,1,47,46,0.021,0,0.021,8.869
7.45,0,0,0,46,46,0,0,0,8.960
7.55,0,0,0,46,46,0,0,0,8.860
7.65,0,0,0,46,46,0,0,0,8.760
7.75,1,0,1,46,45,0.022,0,0.022,8.660
7.85,0,0,0,45,45,0,0,0,8.751
7.95,0,0,0,45,45,0,0,0,8.651
8.05,0,1,1,45,46,0,0.022,0.022,8.551
8.15,0,0,0,46,46,0,0,0,8.579
8.25,0,0,0,46,46,0,0,0,8.479
8.35,0,0,0,46,46,0,0,0,8.379
8.45,1,0,1,46,45,0.022,0,0.022,8.279
8.55,2,0,2,45,43,0.044,0,0.044,8.361
8.65,0,0,0,43,43,0,0,0,8.647
8.75,0,0,0,43,43,0,0,0,8.547
8.85,1,1,2,43,43,0.023,0.023,0.047,8.447
8.95,1,0,1,43,42,0.023,0,0.023,8.483
9.05,0,1,1,42,43,0,0.023,0.023,8.585
9.15,0,0,0,43,43,0,0,0,8.395
9.25,1,1,2,43,43,0.023,0.023,0.047,8.295
9.35,0,0,0,43,43,0,0,0,8.333
9.45,1,0,1,43,42,0.023,0,0.023,8.233
9.55,0,0,0,42,42,0,0,0,8.328
9.65,1,0,1,42,41,0.024,0,0.024,8.228
9.75,0,0,0,41,41,0,0,0,8.327
9.85,1,1,2,41,41,0.024,0.024,0.049,8.227
9.95,1,0,1,41,40,0.024,0,0.024,8.308
10.05,0,0,0,40,40,0,0,0,8.414
10.15,0,0,0,40,40,0,0,0,8.314
10.25,0,2,2,40,42,0,0.048,0.048,8.214
10.35,0,0,0,42,42,0,0,0,8.271
10.45,0,3,3,42,45,0,0.067,0.067,8.171
10.55,0,0,0,45,45,0,0,0,8.769
10.65,1,0,1,45,44,0.022,0,0.022,8.669
10.75,0,0,0,44,44,0,0,0,8.765
10.85,1,0,1,44,43,0.023,0,0.023,8.665
10.95,1,0,1,43,42,0.023,0,0.023,8.767
11.05,0,0,0,42,42,0,0,0,8.875
11.15,1,0,1,42,41,0.024,0,0.024,8.775
11.25,0,0,0,41,41,0,0,0,8.887
11.35,0,1,1,41,42,0,0.024,0.024,8.787
11.45,1,0,1,42,41,0.024,0,0.024,8.743
11.55,0,1,1,41,42,0,0.024,0.024,8.854
11.65,1,0,1,42,41,0.024,0,0.024,8.800
11.75,0,3,3,41,44,0,0.068,0.068,8.914
11.85,0,0,0,44,44,0,0,0,8.338
11.95,0,0,0,44,44,0,0,0,8.238
12.05,0,0,0,44,44,0,0,0,8.138
12.15,0,0,0,44,44,0,0,0,8.038
12.25,0,0,0,44,44,0,0,0,7.938
12.35,0,0,0,44,44,0,0,0,7.838
12.45,1,3,4,44,46,0.023,0.065,0.088,7.738
12.55,0,0,0,46,46,0,0,0,7.634
12.65,0,0,0,46,46,0,0,0,7.534
12.75,0,0,0,46,46,0,0,0,7.434
12.85,0,0,0,46,46,0,0,0,7.334
12.95,0,0,0,46,46,0,0,0,7.234
13.05,0,0,0,46,46,0,0,0,7.134
13.15,1,1,2,46,46,0.022,0.022,0.043,7.034
13.25,0,0,0,46,46,0,0,0,6.954
13.35,2,1,3,46,45,0.043,0.022,0.066,6.854
13.45,0,0,0,45,45,0,0,0,7.107
13.55,1,1,2,45,45,0.022,0.022,0.044,7.007
13.65,2,1,3,45,44,0.044,0.023,0.067,6.913
13.75,2,1,3,44,43,0.045,0.023,0.069,6.977
13.85,1,3,4,43,45,0.023,0.067,0.090,7.142
13.95,0,0,0,45,45,0,0,0,7.066
14.05,3,0,3,45,42,0.067,0,0.067,6.966
14.15,0,0,0,42,42,0,0,0,7.359
14.25,1,1,2,42,42,0.024,0.024,0.048,7.259
14.35,0,0,0,42,42,0,0,0,7.238
14.45,0,1,1,42,43,0,0.023,0.023,7.138
14.55,0,1,1,43,44,0,0.023,0.023,6.908
14.65,0,0,0,44,44,0,0,0,6.694
14.75,2,2,4,44,44,0.045,0.045,0.091,6.594
14.85,0,0,0,44,44,0,0,0,6.562
14.95,1,0,1,44,43,0.023,0,0.023,6.462
15.05,0,0,0,43,43,0,0,0,6.511
15.15,3,2,5,43,42,0.070,0.048,0.117,6.411
15.25,0,0,0,42,42,0,0,0,7.405
15.35,0,0,0,42,42,0,0,0,7.305
15.45,0,0,0,42,42,0,0,0,7.205
15.55,0,1,1,42,43,0,0.023,0.023,7.105
15.65,0,2,2,43,45,0,0.044,0.044,7.190
15.75,1,0,1,45,44,0.022,0,0.022,7.185
15.85,0,0,0,44,44,0,0,0,7.247
15.95,1,1,2,44,44,0.023,0.023,0.045,7.147
16.05,0,0,0,44,44,0,0,0,7.697
16.15,0,0,0,44,44,0,0,0,7.597
16.25,3,0,3,44,41,0.068,0,0.068,7.497
16.35,3,6,9,41,44,0.073,0.136,0.210,7.941
16.45,0,0,0,44,44,0,0,0,7.998
16.55,0,0,0,44,44,0,0,0,7.898
16.65,1,0,1,44,43,0.023,0,0.023,7.798
16.75,0,0,0,43,43,0,0,0,7.878
16.85,0,1,1,43,44,0,0.023,0.023,7.778
16.95,0,1,1,44,45,0,0.022,0.022,7.625
17.05,0,0,0,45,45,0,0,0,7.586
17.15,1,0,1,45,44,0.022,0,0.022,7.486
17.25,2,0,2,44,42,0.045,0,0.045,7.556
17.35,0,0,0,42,42,0,0,0,7.812
17.45,0,0,0,42,42,0,0,0,7.712
17.55,3,2,5,42,41,0.071,0.049,0.120,7.612
17.65,0,0,0,41,41,0,0,0,9.114
17.75,0,0,0,41,41,0,0,0,9.014
17.85,0,0,0,41,41,0,0,0,8.914
17.95,0,0,0,41,41,0,0,0,8.814
18.05,0,0,0,41,41,0,0,0,8.714
18.15,1,0,1,41,40,0.024,0,0.024,8.614
18.25,1,0,1,40,39,0.025,0,0.025,8.727
18.35,1,0,1,39,38,0.026,0,0.026,8.849
18.45,1,0,1,38,37,0.026,0,0.026,8.981
18.55,1,0,1,37,36,0.027,0,0.027,9.123
18.65,0,0,0,36,36,0,0,0,9.274
18.75,0,0,0,36,36,0,0,0,9.174
18.85,0,0,0,36,36,0,0,0,9.074
18.95,0,0,0,36,36,0,0,0,8.974
19.05,1,1,2,36,36,0.028,0.028,0.056,8.874
19.15,0,0,0,36,36,0,0,0,8.948
19.25,0,0,0,36,36,0,0,0,8.848
19.35,0,2,2,36,38,0,0.053,0.053,8.748
19.45,0,0,0,38,38,0,0,0,8.759
19.55,0,0,0,38,38,0,0,0,8.659
19.65,0,0,0,38,38,0,0,0,8.559
19.75,0,0,0,38,38,0,0,0,8.459
19.85,0,0,0,38,38,0,0,0,8.359
19.95,0,0,0,38,38,0,0,0,8.259
20.05,0,0,0,38,38,0,0,0,8.159
20.15,0,0,0,38,38,0,0,0,8.059
20.25,0,0,0,38,38,0,0,0,7.959
20.35,0,0,0,38,38,0,0,0,7.859
20.45,0,0,0,38,38,0,0,0,7.759
20.55,0,0,0,38,38,0,0,0,7.659
20.65,0,0,0,38,38,0,0,0,7.559
20.75,1,0,1,38,37,0.026,0,0.026,7.459
20.85,0,0,0,37,37,0,0,0,7.560
20.95,0,1,1,37,38,0,0.026,0.026,7.460
21.05,0,0,0,38,38,0,0,0,7.382
21.15,2,1,3,38,37,0.053,0.027,0.080,7.282
21.25,0,0,0,37,37,0,0,0,7.428
21.35,1,0,1,37,36,0.027,0,0.027,7.328
21.45,1,0,1,36,35,0.028,0,0.028,7.431
21.55,0,0,0,35,35,0,0,0,7.541
21.65,0,1,1,35,36,0,0.028,0.028,7.441
21.75,0,0,0,36,36,0,0,0,7.536
21.85,1,1,2,36,36,0.028,0.028,0.056,7.436
21.95,1,0,1,36,35,0.028,0,0.028,7.635
22.05,0,0,0,35,35,0,0,0,7.751
22.15,0,0,0,35,35,0,0,0,7.651
22.25,2,0,2,35,33,0.057,0,0.057,7.551
22.35,0,0,0,33,33,0,0,0,7.904
22.45,4,0,4,33,29,0.121,0,0.121,7.804
22.55,0,0,0,29,29,0,0,0,8.775
22.65,0,1,1,29,30,0,0.033,0.033,8.675
22.75,0,0,0,30,30,0,0,0,8.373
22.85,0,0,0,30,30,0,0,0,8.273
22.95,3,4,7,30,31,0.100,0.129,0.229,8.173
23.05,0,3,3,31,34,0,0.088,0.088,8.899
23.15,0,0,0,34,34,0,0,0,9.249
23.25,0,0,0,34,34,0,0,0,9.149
23.35,0,1,1,34,35,0,0.029,0.029,9.049
23.45,0,0,0,35,35,0,0,0,8.984
23.55,0,1,1,35,36,0,0.028,0.028,8.884
23.65,0,0,0,36,36,0,0,0,8.715
23.75,0,0,0,36,36,0,0,0,8.615
23.85,0,0,0,36,36,0,0,0,8.515
23.95,0,0,0,36,36,0,0,0,8.415
24.05,0,0,0,36,36,0,0,0,8.315
24.15,0,0,0,36,36,0,0,0,8.215
24.25,0,0,0,36,36,0,0,0,8.115
24.35,0,0,0,36,36,0,0,0,8.015
24.45,0,0,0,36,36,0,0,0,7.915
24.55,0,0,0,36,36,0,0,0,7.815
24.65,0,0,0,36,36,0,0,0,7.715
24.75,0,1,1,36,37,0,0.027,0.027,7.615
24.85,1,0,1,37,36,0.027,0,0.027,7.558
24.95,0,0,0,36,36,0,0,0,7.667
25.05,0,0,0,36,36,0,0,0,7.567
25.15,0,0,0,36,36,0,0,0,7.467
25.25,2,0,2,36,34,0.056,0,0.056,7.367
25.35,1,0,1,34,33,0.029,0,0.029,7.699
25.45,0,0,0,33,33,0,0,0,7.832
25.55,0,0,0,33,33,0,0,0,7.732
25.65,0,0,0,33,33,0,0,0,7.632
25.75,0,0,0,33,33,0,0,0,7.532
25.85,0,0,0,33,33,0,0,0,7.432
25.95,2,0,2,33,31,0.061,0,0.061,7.332
26.05,1,0,1,31,30,0.032,0,0.032,7.705
26.15,0,0,0,30,30,0,0,0,7.861
26.25,0,0,0,30,30,0,0,0,7.761
26.35,0,0,0,30,30,0,0,0,7.661
26.45,1,0,1,30,29,0.033,0,0.033,7.561
26.55,0,3,3,29,32,0,0.094,0.094,7.719
26.65,0,0,0,32,32,0,0,0,7.913
26.75,1,0,1,32,31,0.031,0,0.031,7.813
26.85,0,1,1,31,32,0,0.031,0.031,7.965
26.95,0,1,1,32,33,0,0.030,0.030,7.930
27.05,0,0,0,33,33,0,0,0,7.705
27.15,0,0,0,33,33,0,0,0,7.605
27.25,1,0,1,33,32,0.030,0,0.030,7.505
27.35,0,0,0,32,32,0,0,0,7.637
27.45,0,0,0,32,32,0,0,0,7.537
27.55,0,0,0,32,32,0,0,0,7.437
27.65,1,0,1,32,31,0.031,0,0.031,7.337
27.75,0,0,0,31,31,0,0,0,7.471
27.85,0,0,0,31,31,0,0,0,7.371
27.95,0,0,0,31,31,0,0,0,7.271
28.05,0,0,0,31,31,0,0,0,7.171
28.15,0,0,0,31,31,0,0,0,7.071
28.25,0,0,0,31,31,0,0,0,6.971
28.35,0,0,0,31,31,0,0,0,6.871
28.45,0,0,0,31,31,0,0,0,6.771
28.55,0,0,0,31,31,0,0,0,6.671
28.65,0,0,0,31,31,0,0,0,6.571
28.75,0,0,0,31,31,0,0,0,6.471
28.85,0,0,0,31,31,0,0,0,6.371
28.95,0,0,0,31,31,0,0,0,6.271
29.05,0,0,0,31,31,0,0,0,6.171
29.15,3,0,3,31,28,0.097,0,0.097,6.071
29.25,0,0,0,28,28,0,0,0,6.614
29.35,0,0,0,28,28,0,0,0,6.514
29.45,0,0,0,28,28,0,0,0,6.414
29.55,0,0,0,28,28,0,0,0,6.314
29.65,0,0,0,28,28,0,0,0,6.214
29.75,0,0,0,28,28,0,0,0,6.114
29.85,0,0,0,28,28,0,0,0,6.014
29.95,1,1,2,28,28,0.036,0.036,0.071,5.914
30.05,0,0,0,28,28,0,0,0,6.241
30.15,0,0,0,28,28,0,0,0,6.141
30.25,1,7,8,28,34,0.036,0.206,0.242,6.041
30.35,0,0,0,34,34,0,0,0,6.658
30.45,1,0,1,34,33,0.029,0,0.029,6.558
30.55,1,0,1,33,32,0.030,0,0.030,6.656
30.65,2,0,2,32,30,0.063,0,0.063,6.762
30.75,0,0,0,30,30,0,0,0,7.108
30.85,0,0,0,30,30,0,0,0,7.008
30.95,0,0,0,30,30,0,0,0,6.908
31.05,0,0,0,30,30,0,0,0,6.808
31.15,0,0,0,30,30,0,0,0,6.708
31.25,2,0,2,30,28,0.067,0,0.067,6.608
31.35,0,0,0,28,28,0,0,0,6.973
31.45,0,0,0,28,28,0,0,0,6.873
31.55,0,0,0,28,28,0,0,0,6.773
31.65,0,0,0,28,28,0,0,0,6.673
31.75,0,0,0,28,28,0,0,0,6.573
31.85,0,1,1,28,29,0,0.034,0.034,6.473
31.95,0,0,0,29,29,0,0,0,6.529
32.05,0,0,0,29,29,0,0,0,6.429
32.15,1,1,2,29,29,0.034,0.034,0.069,6.329
32.25,0,1,1,29,30,0,0.033,0.033,6.359
32.35,0,2,2,30,32,0,0.063,0.063,6.526
32.45,0,0,0,32,32,0,0,0,7.061
32.55,0,0,0,32,32,0,0,0,6.961
32.65,1,0,1,32,31,0.031,0,0.031,6.861
32.75,1,1,2,31,31,0.032,0.032,0.065,6.981
32.85,0,0,0,31,31,0,0,0,6.934
32.95,0,0,0,31,31,0,0,0,6.834
33.05,0,1,1,31,32,0,0.031,0.031,6.734
33.15,0,0,0,32,32,0,0,0,6.459
33.25,0,0,0,32,32,0,0,0,6.359
33.35,1,0,1,32,31,0.031,0,0.031,6.259
33.45,1,0,1,31,30,0.032,0,0.032,6.358
33.55,1,0,1,30,29,0.033,0,0.033,6.468
33.65,0,0,0,29,29,0,0,0,6.588
33.75,0,0,0,29,29,0,0,0,6.488
33.85,0,0,0,29,29,0,0,0,6.388
33.95,1,11,12,29,39,0.034,0.282,0.317,6.288
34.05,1,4,5,39,42,0.026,0.095,0.121,7.742
34.15,2,0,2,42,40,0.048,0,0.048,7.506
34.25,1,1,2,40,40,0.025,0.025,0.050,7.780
34.35,0,0,0,40,40,0,0,0,8.008
34.45,2,0,2,40,38,0.050,0,0.050,7.908
34.55,0,0,0,38,38,0,0,0,8.223
34.65,0,5,5,38,43,0,0.116,0.116,8.123
34.75,0,0,0,43,43,0,0,0,7.946
