"Data used to generate the results reported herein. ""N.species"" is the number of species extant at a pseudolevel (age); the value for speciation includes the originating species but not the extinguishing species and, conversely, the value for extinction includes the extinguishing species but excludes the originators. Species turnover, used for spectral analysis, is simply the sum of the relevant speciation and extinction state probabilites. ﻿Raw speciation and species extinction probabilities calculated at each pseudolevel as the number of speciations or extinctions divided by the number of species extant. ﻿Raw species turnover probability calculated as the sum of raw speciation and raw extinction probability",,,,,,,,,
34.85,1,0,1,43,42,0.023,0,0.023,7.846
34.95,0,1,1,42,43,0,0.023,0.023,7.932
35.05,0,0,0,43,43,0,0,0,7.813
35.15,0,0,0,43,43,0,0,0,7.713
35.25,1,0,1,43,42,0.023,0,0.023,7.613
35.35,0,0,0,42,42,0,0,0,7.692
35.45,0,0,0,42,42,0,0,0,7.592
35.55,2,0,2,42,40,0.048,0,0.048,7.492
35.65,0,1,1,40,41,0,0.024,0.024,7.764
35.75,0,0,0,41,41,0,0,0,7.674
35.85,1,2,3,41,42,0.024,0.048,0.072,7.574
35.95,0,1,1,42,43,0,0.023,0.023,7.505
36.05,1,1,2,43,43,0.023,0.023,0.047,7.416
36.15,0,0,0,43,43,0,0,0,7.496
36.25,0,0,0,43,43,0,0,0,7.396
36.35,0,1,1,43,44,0,0.023,0.023,7.296
36.45,1,0,1,44,43,0.023,0,0.023,7.195
36.55,0,1,1,43,44,0,0.023,0.023,7.261
36.65,0,0,0,44,44,0,0,0,7.307
36.75,0,0,0,44,44,0,0,0,7.207
36.85,1,0,1,44,43,0.023,0,0.023,7.107
36.95,0,0,0,43,43,0,0,0,7.171
37.05,0,0,0,43,43,0,0,0,7.071
37.15,0,0,0,43,43,0,0,0,6.971
37.25,0,1,1,43,44,0,0.023,0.023,6.871
37.35,0,1,1,44,45,0,0.022,0.022,6.694
37.45,0,0,0,45,45,0,0,0,6.676
37.55,0,0,0,45,45,0,0,0,6.576
37.65,1,0,1,45,44,0.022,0,0.022,6.476
37.75,0,0,0,44,44,0,0,0,6.523
37.85,0,0,0,44,44,0,0,0,6.423
37.95,0,3,3,44,47,0,0.064,0.064,6.323
38.05,1,1,2,47,47,0.021,0.021,0.043,6.471
38.15,0,1,1,47,48,0,0.021,0.021,6.452
38.25,0,0,0,48,48,0,0,0,6.307
38.35,0,0,0,48,48,0,0,0,6.207
38.45,1,0,1,48,47,0.021,0,0.021,6.107
38.55,1,0,1,47,46,0.021,0,0.021,6.135
38.65,0,0,0,46,46,0,0,0,6.166
38.75,0,1,1,46,47,0,0.021,0.021,6.066
38.85,0,0,0,47,47,0,0,0,6.092
38.95,2,1,3,47,46,0.043,0.022,0.064,5.992
39.05,2,0,2,46,44,0.043,0,0.043,6.118
39.15,1,0,1,44,43,0.023,0,0.023,6.293
39.25,0,1,1,43,44,0,0.023,0.023,6.338
39.35,0,0,0,44,44,0,0,0,6.278
39.45,0,0,0,44,44,0,0,0,6.178
39.55,0,1,1,44,45,0,0.022,0.022,6.078
39.65,0,1,1,45,46,0,0.022,0.022,5.972
39.75,1,1,2,46,46,0.022,0.022,0.043,5.831
39.85,0,0,0,46,46,0,0,0,5.820
39.95,1,3,4,46,48,0.022,0.063,0.084,5.720
40.05,0,2,2,48,50,0,0.040,0.040,5.681
40.15,0,1,1,50,51,0,0.020,0.020,5.531
40.25,1,1,2,51,51,0.020,0.020,0.039,5.366
40.35,1,0,1,51,50,0.020,0,0.020,5.317
40.45,1,3,4,50,52,0.020,0.058,0.078,5.323
40.55,0,0,0,52,52,0,0,0,5.409
40.65,1,2,3,52,53,0.019,0.038,0.057,5.309
40.75,0,0,0,53,53,0,0,0,5.308
40.85,0,0,0,53,53,0,0,0,5.208
40.95,1,0,1,53,52,0.019,0,0.019,5.108
41.05,0,0,0,52,52,0,0,0,5.105
41.15,0,1,1,52,53,0,0.019,0.019,5.005
41.25,0,0,0,53,53,0,0,0,4.855
41.35,0,1,1,53,54,0,0.019,0.019,4.755
41.45,1,0,1,54,53,0.019,0,0.019,4.608
41.55,0,0,0,53,53,0,0,0,4.593
41.65,0,0,0,53,53,0,0,0,4.493
41.75,0,0,0,53,53,0,0,0,4.393
41.85,2,3,5,53,54,0.038,0.056,0.093,4.293
41.95,0,0,0,54,54,0,0,0,4.443
42.05,2,1,3,54,53,0.037,0.019,0.056,4.343
42.15,0,0,0,53,53,0,0,0,4.583
42.25,0,1,1,53,54,0,0.019,0.019,4.483
42.35,2,0,2,54,52,0.037,0,0.037,4.381
42.45,0,0,0,52,52,0,0,0,4.447
42.55,0,2,2,52,54,0,0.037,0.037,4.347
42.65,1,1,2,54,54,0.019,0.019,0.037,4.846
42.75,2,1,3,54,53,0.037,0.019,0.056,4.834
42.85,0,3,3,53,56,0,0.054,0.054,5.077
42.95,0,0,0,56,56,0,0,0,5.075
43.05,0,0,0,56,56,0,0,0,4.975
43.15,1,0,1,56,55,0.018,0,0.018,4.875
43.25,0,2,2,55,57,0,0.035,0.035,4.863
43.35,2,3,5,57,58,0.035,0.052,0.087,4.784
43.45,2,1,3,58,57,0.034,0.018,0.052,4.936
43.55,4,3,7,57,56,0.070,0.054,0.124,5.109
43.65,1,1,2,56,56,0.018,0.018,0.036,5.531
43.75,1,0,1,56,55,0.018,0,0.018,5.556
43.85,5,2,7,55,52,0.091,0.038,0.129,5.556
43.95,1,0,1,52,51,0.019,0,0.019,5.779
44.05,2,0,2,51,49,0.039,0,0.039,5.792
44.15,0,0,0,49,49,0,0,0,5.926
44.25,0,0,0,49,49,0,0,0,5.826
44.35,0,0,0,49,49,0,0,0,5.726
44.45,0,0,0,49,49,0,0,0,5.626
44.55,1,2,3,49,50,0.020,0.040,0.060,5.526
44.65,0,0,0,50,50,0,0,0,5.713
44.75,2,1,3,50,49,0.040,0.020,0.060,5.613
44.85,0,0,0,49,49,0,0,0,5.854
44.95,0,0,0,49,49,0,0,0,5.754
45.05,0,0,0,49,49,0,0,0,5.654
45.15,0,0,0,49,49,0,0,0,5.554
45.25,2,0,2,49,47,0.041,0,0.041,5.454
45.35,0,0,0,47,47,0,0,0,5.583
45.45,0,0,0,47,47,0,0,0,5.483
45.55,0,0,0,47,47,0,0,0,5.383
45.65,0,0,0,47,47,0,0,0,5.283
45.75,2,2,4,47,47,0.043,0.043,0.085,5.183
45.85,0,0,0,47,47,0,0,0,5.555
45.95,0,0,0,47,47,0,0,0,5.455
46.05,0,0,0,47,47,0,0,0,5.355
46.15,0,0,0,47,47,0,0,0,5.255
46.25,0,0,0,47,47,0,0,0,5.155
46.35,1,2,3,47,48,0.021,0.042,0.063,5.055
46.45,0,0,0,48,48,0,0,0,5.136
46.55,3,1,4,48,46,0.063,0.022,0.084,5.036
46.65,0,0,0,46,46,0,0,0,5.357
46.75,1,0,1,46,45,0.022,0,0.022,5.257
46.85,1,1,2,45,45,0.022,0.022,0.044,5.274
46.95,1,0,1,45,44,0.022,0,0.022,5.224
47.05,0,0,0,44,44,0,0,0,5.242
47.15,0,0,0,44,44,0,0,0,5.142
47.25,0,0,0,44,44,0,0,0,5.042
47.35,1,0,1,44,43,0.023,0,0.023,4.942
47.45,5,0,5,43,38,0.116,0,0.116,4.957
47.55,0,0,0,38,38,0,0,0,5.507
47.65,0,0,0,38,38,0,0,0,5.407
47.75,1,0,1,38,37,0.026,0,0.026,5.307
47.85,0,0,0,37,37,0,0,0,5.350
47.95,0,0,0,37,37,0,0,0,5.250
48.05,1,1,2,37,37,0.027,0.027,0.054,5.150
48.15,0,0,0,37,37,0,0,0,5.109
48.25,0,0,0,37,37,0,0,0,5.009
48.35,2,1,3,37,36,0.054,0.028,0.082,4.909
48.45,0,0,0,36,36,0,0,0,5.209
48.55,0,0,0,36,36,0,0,0,5.109
48.65,2,0,2,36,34,0.056,0,0.056,5.009
48.75,0,0,0,34,34,0,0,0,5.201
48.85,0,0,0,34,34,0,0,0,5.101
48.95,0,0,0,34,34,0,0,0,5.001
49.05,1,0,1,34,33,0.029,0,0.029,4.901
49.15,0,0,0,33,33,0,0,0,4.947
49.25,0,0,0,33,33,0,0,0,4.847
49.35,1,0,1,33,32,0.030,0,0.030,4.747
49.45,0,0,0,32,32,0,0,0,4.793
49.55,0,0,0,32,32,0,0,0,4.693
49.65,0,0,0,32,32,0,0,0,4.593
49.75,0,1,1,32,33,0,0.030,0.030,4.493
49.85,0,0,0,33,33,0,0,0,4.502
49.95,0,0,0,33,33,0,0,0,4.402
50.05,0,0,0,33,33,0,0,0,4.302
50.15,0,0,0,33,33,0,0,0,4.202
50.25,6,3,9,33,30,0.182,0.100,0.282,4.102
50.35,0,1,1,30,31,0,0.032,0.032,4.927
50.45,1,2,3,31,32,0.032,0.063,0.095,4.878
50.55,1,0,1,32,31,0.031,0,0.031,4.980
50.65,3,4,7,31,32,0.097,0.125,0.222,5.039
50.75,0,2,2,32,34,0,0.059,0.059,5.477
50.85,0,0,0,34,34,0,0,0,5.259
50.95,0,0,0,34,34,0,0,0,5.159
51.05,0,0,0,34,34,0,0,0,5.059
51.15,0,1,1,34,35,0,0.029,0.029,4.959
51.25,0,0,0,35,35,0,0,0,4.902
51.35,0,0,0,35,35,0,0,0,4.802
51.45,0,0,0,35,35,0,0,0,4.702
51.55,0,0,0,35,35,0,0,0,4.602
51.65,0,1,1,35,36,0,0.028,0.028,4.502
51.75,1,0,1,36,35,0.028,0,0.028,4.383
51.85,0,0,0,35,35,0,0,0,4.406
51.95,0,0,0,35,35,0,0,0,4.306
52.05,0,0,0,35,35,0,0,0,4.206
52.15,1,0,1,35,34,0.029,0,0.029,4.106
52.25,0,0,0,34,34,0,0,0,4.124
52.35,0,0,0,34,34,0,0,0,4.024
52.45,0,0,0,34,34,0,0,0,3.924
52.55,2,0,2,34,32,0.059,0,0.059,3.824
52.65,0,0,0,32,32,0,0,0,3.961
52.75,0,0,0,32,32,0,0,0,3.861
52.85,0,0,0,32,32,0,0,0,3.761
52.95,0,0,0,32,32,0,0,0,3.661
53.05,0,1,1,32,33,0,0.030,0.030,3.561
53.15,0,0,0,33,33,0,0,0,3.451
53.25,0,0,0,33,33,0,0,0,3.351
53.35,0,0,0,33,33,0,0,0,3.251
53.45,0,0,0,33,33,0,0,0,3.151
53.55,0,0,0,33,33,0,0,0,3.051
53.65,0,0,0,33,33,0,0,0,2.951
53.75,0,0,0,33,33,0,0,0,2.851
53.85,1,0,1,33,32,0.030,0,0.030,2.751
53.95,0,0,0,32,32,0,0,0,2.737
54.05,0,0,0,32,32,0,0,0,2.637
54.15,1,0,1,32,31,0.031,0,0.031,2.537
54.25,0,0,0,31,31,0,0,0,2.518
54.35,0,1,1,31,32,0,0.031,0.031,2.418
54.45,0,0,0,32,32,0,0,0,2.456
54.55,0,0,0,32,32,0,0,0,2.356
54.65,4,2,6,32,30,0.125,0.067,0.192,2.256
54.75,0,0,0,30,30,0,0,0,2.399
54.85,0,1,1,30,31,0,0.032,0.032,2.299
54.95,0,0,0,31,31,0,0,0,2.309
55.05,0,0,0,31,31,0,0,0,2.209
55.15,0,0,0,31,31,0,0,0,2.109
55.25,0,5,5,31,36,0,0.139,0.139,2.009
55.35,1,1,2,36,36,0.028,0.028,0.056,2.465
55.45,2,1,3,36,35,0.056,0.029,0.084,2.449
55.55,1,0,1,35,34,0.029,0,0.029,2.591
55.65,1,0,1,34,33,0.029,0,0.029,2.565
55.75,0,4,4,33,37,0,0.108,0.108,2.541
55.85,5,1,6,37,33,0.135,0.030,0.165,2.239
55.95,4,1,5,33,30,0.121,0.033,0.155,2.613
56.05,0,0,0,30,30,0,0,0,2.965
56.15,0,0,0,30,30,0,0,0,2.865
56.25,3,0,3,30,27,0.100,0,0.100,2.765
56.35,0,0,0,27,27,0,0,0,2.967
56.45,0,0,0,27,27,0,0,0,2.867
56.55,3,0,3,27,24,0.111,0,0.111,2.767
56.65,0,0,0,24,24,0,0,0,3.009
56.75,0,0,0,24,24,0,0,0,2.909
56.85,2,0,2,24,22,0.083,0,0.083,2.809
56.95,0,0,0,22,22,0,0,0,2.963
57.05,0,0,0,22,22,0,0,0,2.863
57.15,2,1,3,22,21,0.091,0.048,0.139,2.763
57.25,0,0,0,21,21,0,0,0,2.968
57.35,0,0,0,21,21,0,0,0,2.868
57.45,0,0,0,21,21,0,0,0,2.768
57.55,2,3,5,21,22,0.095,0.136,0.232,2.668
57.65,0,0,0,22,22,0,0,0,2.885
57.75,4,2,6,22,20,0.182,0.100,0.282,2.785
57.85,0,1,1,20,21,0,0.048,0.048,3.474
57.95,0,0,0,21,21,0,0,0,3.451
58.05,0,0,0,21,21,0,0,0,3.351
58.15,0,0,0,21,21,0,0,0,3.251
58.25,1,0,1,21,20,0.048,0,0.048,3.151
58.35,1,0,1,20,19,0.050,0,0.050,3.204
58.45,0,0,0,19,19,0,0,0,3.268
58.55,0,0,0,19,19,0,0,0,3.168
58.65,0,0,0,19,19,0,0,0,3.068
58.75,0,0,0,19,19,0,0,0,2.968
58.85,0,0,0,19,19,0,0,0,2.868
58.95,0,0,0,19,19,0,0,0,2.768
59.05,0,0,0,19,19,0,0,0,2.668
59.15,0,0,0,19,19,0,0,0,2.568
59.25,0,0,0,19,19,0,0,0,2.468
59.35,0,0,0,19,19,0,0,0,2.368
59.45,0,0,0,19,19,0,0,0,2.268
59.55,0,0,0,19,19,0,0,0,2.168
59.65,0,0,0,19,19,0,0,0,2.068
59.75,0,0,0,19,19,0,0,0,1.968
59.85,0,1,1,19,20,0,0.050,0.050,1.868
59.95,0,0,0,20,20,0,0,0,1.799
60.05,0,0,0,20,20,0,0,0,1.699
60.15,0,1,1,20,21,0,0.048,0.048,1.599
60.25,0,0,0,21,21,0,0,0,1.512
60.35,0,0,0,21,21,0,0,0,1.412
60.45,1,1,2,21,21,0.048,0.048,0.095,1.312
60.55,2,2,4,21,21,0.095,0.095,0.190,1.301
60.65,1,1,2,21,21,0.048,0.048,0.095,1.377
60.75,3,0,3,21,18,0.143,0,0.143,1.519
60.85,1,0,1,18,17,0.056,0,0.056,1.668
60.95,0,0,0,17,17,0,0,0,1.664
61.05,0,0,0,17,17,0,0,0,1.564
61.15,1,0,1,17,16,0.059,0,0.059,1.464
61.25,0,0,0,16,16,0,0,0,1.454
61.35,2,2,4,16,16,0.125,0.125,0.250,1.354
61.45,0,0,0,16,16,0,0,0,1.393
61.55,1,0,1,16,15,0.063,0,0.063,1.293
61.65,0,0,0,15,15,0,0,0,1.276
61.75,0,0,0,15,15,0,0,0,1.176
61.85,1,0,1,15,14,0.067,0,0.067,1.076
61.95,1,0,1,14,13,0.071,0,0.071,1.049
62.05,0,2,2,13,15,0,0.133,0.133,1.024
62.15,1,0,1,15,14,0.067,0,0.067,0.954
62.25,4,2,6,14,12,0.286,0.167,0.452,0.920
62.35,0,0,0,12,12,0,0,0,1.145
62.45,2,1,3,12,11,0.167,0.091,0.258,1.045
62.55,0,2,2,11,13,0,0.154,0.154,1.351
62.65,3,1,4,13,11,0.231,0.091,0.322,1.565
62.75,0,0,0,11,11,0,0,0,2.043
62.85,1,0,1,11,10,0.091,0,0.091,1.943
62.95,1,0,1,10,9,0.100,0,0.100,2.029
63.05,0,0,0,9,9,0,0,0,2.151
63.15,0,0,0,9,9,0,0,0,2.051
63.25,0,0,0,9,9,0,0,0,1.951
63.35,0,0,0,9,9,0,0,0,1.851
63.45,0,0,0,9,9,0,0,0,1.751
63.55,0,0,0,9,9,0,0,0,1.651
63.65,0,0,0,9,9,0,0,0,1.551
63.75,0,1,1,9,10,0,0.100,0.100,1.451
63.85,0,0,0,10,10,0,0,0,1.438
63.95,3,1,4,10,8,0.300,0.125,0.425,1.338
64.05,0,0,0,8,8,0,0,0,1.838
64.15,0,0,0,8,8,0,0,0,1.738
64.25,0,0,0,8,8,0,0,0,1.638
64.35,0,0,0,8,8,0,0,0,1.538
64.45,0,0,0,8,8,0,0,0,1.438
64.55,0,1,1,8,9,0,0.111,0.111,1.338
64.65,0,0,0,9,9,0,0,0,1.260
64.75,0,0,0,9,9,0,0,0,1.160
64.85,0,0,0,9,9,0,0,0,1.060
64.95,0,0,0,9,9,0,0,0,0.960
65.05,0,0,0,9,9,0,0,0,0.860
65.15,0,0,0,9,9,0,0,0,0.760
65.25,1,0,1,9,8,0.111,0,0.111,0.660
65.35,0,0,0,8,8,0,0,0,0.636
65.45,0,0,0,8,8,0,0,0,0.536
65.55,0,0,0,8,8,0,0,0,0.436
65.65,0,0,0,8,8,0,0,0,0.336
65.75,1,1,2,8,8,0.125,0.125,0.250,0.236
65.85,1,0,1,8,7,0.125,0,0.125,0.169
65.95,3,0,3,7,4,0.429,0,0.429,0.090
66.05,4,2,6,4,2,1.000,1.000,2.000,0.028
66.15,0,0,0,2,2,0,0,0,4.313
66.25,0,0,0,2,2,0,0,0,4.213
66.35,0,0,0,2,2,0,0,0,4.113
66.45,0,0,0,2,2,0,0,0,4.013
66.55,0,0,0,2,2,0,0,0,3.913
66.65,0,0,0,2,2,0,0,0,3.813
66.75,0,0,0,2,2,0,0,0,3.713
66.85,0,0,0,2,2,0,0,0,3.613
66.95,0,0,0,2,2,0,0,0,3.513
67.05,0,0,0,2,2,0,0,0,3.413
67.15,0,0,0,2,2,0,0,0,3.313
67.25,0,0,0,2,2,0,0,0,3.213
67.35,0,0,0,2,2,0,0,0,3.113
67.45,0,0,0,2,2,0,0,0,3.013
67.55,0,0,0,2,2,0,0,0,2.913
67.65,0,0,0,2,2,0,0,0,2.813
67.75,0,0,0,2,2,0,0,0,2.713
67.85,0,0,0,2,2,0,0,0,2.613
67.95,0,0,0,2,2,0,0,0,2.513
68.05,0,0,0,2,2,0,0,0,2.413
68.15,0,0,0,2,2,0,0,0,2.313
68.25,0,0,0,2,2,0,0,0,2.213
68.35,0,0,0,2,2,0,0,0,2.113
68.45,0,0,0,2,2,0,0,0,2.013
68.55,0,0,0,2,2,0,0,0,1.913
68.65,0,0,0,2,2,0,0,0,1.813
68.75,0,0,0,2,2,0,0,0,1.713
68.85,0,0,0,2,2,0,0,0,1.613
68.95,0,0,0,2,2,0,0,0,1.513
69.05,0,0,0,2,2,0,0,0,1.413
69.15,0,0,0,2,2,0,0,0,1.313
69.25,0,0,0,2,2,0,0,0,1.213
69.35,0,0,0,2,2,0,0,0,1.113
69.45,0,0,0,2,2,0,0,0,1.013
69.55,0,0,0,2,2,0,0,0,0.913
69.65,0,0,0,2,2,0,0,0,0.813
69.75,0,0,0,2,2,0,0,0,0.713
69.85,0,0,0,2,2,0,0,0,0.613
69.95,1,0,1,2,1,0.500,0,0.500,0.513
70.05,0,0,0,1,1,0,0,0,0.919
70.15,0,0,0,1,1,0,0,0,0.819
70.25,0,0,0,1,1,0,0,0,0.719
70.35,0,0,0,1,1,0,0,0,0.619
70.45,0,0,0,1,1,0,0,0,0.519
70.55,0,0,0,1,1,0,0,0,0.419
70.65,0,0,0,1,1,0,0,0,0.319
70.75,0,0,0,1,1,0,0,0,0.219
70.85,0,0,0,1,1,0,0,0,0.119
70.95,1,0,1,1,0,1.000,0,1.000,0.019
71.05,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,